Review_ID,Rating,Year_Month,Reviewer_Location,Branch,continent
336489237,4,2015-12,United Kingdom,Disneyland_Paris,Europe
18003238,3,missing,Sweden,Disneyland_Paris,Europe
222894627,3,2014-8,United States,Disneyland_California,Americas
168270705,5,2013-7,United Kingdom,Disneyland_Paris,Europe
273849030,5,2015-5,United States,Disneyland_California,Americas
141957244,4,2012-9,United States,Disneyland_California,Americas
332498151,3,2015-12,United States,Disneyland_California,Americas
400417945,2,2015-10,China,Disneyland_HongKong,Asia
184721985,5,2013-7,United States,Disneyland_California,Americas
280175549,4,2014-12,India,Disneyland_HongKong,Asia
652300440,4,2019-2,Denmark,Disneyland_Paris,Europe
452137233,5,2017-1,France,Disneyland_Paris,Europe
135404611,5,2012-7,United Kingdom,Disneyland_Paris,Europe
553428643,5,2018-1,United Kingdom,Disneyland_Paris,Europe
114699721,4,2010-7,United States,Disneyland_California,Americas
119426593,5,2011-10,Australia,Disneyland_HongKong,Oceania
287133904,5,2015-5,Kenya,Disneyland_Paris,Africa
172292156,4,2013-8,United States,Disneyland_California,Americas
612929975,5,2018-8,United States,Disneyland_HongKong,Americas
375912409,3,2016-4,United States,Disneyland_California,Americas
368358322,4,2016-4,Australia,Disneyland_HongKong,Oceania
272736099,3,2014-6,United Kingdom,Disneyland_California,Europe
126301423,5,2012-3,Canada,Disneyland_California,Americas
296099405,5,2015-7,United States,Disneyland_California,Americas
293397899,1,2015-7,Denmark,Disneyland_California,Europe
517280964,5,2017-8,Denmark,Disneyland_California,Europe
338044686,2,2015-10,United States,Disneyland_California,Americas
476541835,2,2017-4,United Kingdom,Disneyland_Paris,Europe
310775508,5,2014-12,United Kingdom,Disneyland_Paris,Europe
196442683,5,2014-2,Ireland,Disneyland_Paris,Europe
586254029,5,2018-5,United Kingdom,Disneyland_Paris,Europe
125435732,5,missing,Luxembourg,Disneyland_HongKong,Europe
554630859,4,2017-12,United Arab Emirates,Disneyland_Paris,Asia
118047460,4,2011-8,Netherlands,Disneyland_Paris,Europe
387295659,4,2016-6,United States,Disneyland_California,Americas
144081808,5,2012-10,United States,Disneyland_California,Americas
134699325,1,missing,United States,Disneyland_HongKong,Americas
168174014,5,2013-7,United States,Disneyland_California,Americas
127062770,5,2012-3,United Kingdom,Disneyland_Paris,Europe
487498561,2,2017-5,United States,Disneyland_California,Americas
163023999,5,2013-5,Philippines,Disneyland_California,Asia
140039279,5,2012-9,United States,Disneyland_California,Americas
142283524,4,2012-10,United Kingdom,Disneyland_Paris,Europe
224856262,5,missing,United States,Disneyland_California,Americas
423398314,5,2016-9,Singapore,Disneyland_HongKong,Asia
201742290,5,2014-4,Philippines,Disneyland_California,Asia
417334514,5,2015-12,Finland,Disneyland_HongKong,Europe
284015343,5,2015-6,United States,Disneyland_California,Americas
470520470,5,2017-3,United Kingdom,Disneyland_Paris,Europe
125827634,5,2012-1,United States,Disneyland_California,Americas
218022758,4,missing,Northern Mariana Islands,Disneyland_California,Oceania
352233763,5,2015-4,Australia,Disneyland_California,Oceania
97890692,1,2011-2,United States,Disneyland_HongKong,Americas
276626052,5,2015-5,United States,Disneyland_California,Americas
430497378,4,2016-1,Australia,Disneyland_HongKong,Oceania
586784099,4,2018-4,United States,Disneyland_Paris,Americas
326939022,5,2015-11,United States,Disneyland_California,Americas
444045161,5,2016-11,Guatemala,Disneyland_California,Americas
148193929,5,2012-5,United Kingdom,Disneyland_California,Europe
126787191,5,2011-12,Australia,Disneyland_California,Oceania
439667029,4,2016-6,Kuwait,Disneyland_Paris,Asia
145543578,2,2012-10,United Kingdom,Disneyland_Paris,Europe
206116083,5,2014-3,United States,Disneyland_California,Americas
238688614,5,2014-9,United States,Disneyland_California,Americas
181496467,5,2013-9,United States,Disneyland_California,Americas
237624724,5,2014-10,United Kingdom,Disneyland_Paris,Europe
136949347,3,2011-9,United Kingdom,Disneyland_California,Europe
161998915,5,2013-5,United Kingdom,Disneyland_Paris,Europe
127771549,5,2012-4,United Kingdom,Disneyland_California,Europe
369907661,5,2016-4,Romania,Disneyland_Paris,Europe
149275247,4,2012-7,United States,Disneyland_Paris,Americas
